TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
[프로미스나인] 현실판 디즈니 공주같은 이나경,https://www.youtube.com/shorts/fKg6C6_s0Hc,https://rr12---sn-ab02a0nfpgxapox-bh2lr.googlevideo.com/videoplayback?expire=1756894834&ei=EsK3aKn2AeTh29gPt7n1-Q4&ip=1.209.175.55&id=o-AFq73TtAtSW_jhUTlB-2_3ujew4gV1fidDG8FVS3YVEI&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873234%2C&mh=yb&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2lr%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=12&pl=24&rms=au%2Cau&ctier=L&initcwndbps=4801250&bui=AY1jyLOfeuH63Ou0HEkzD-X7ZYnJLfdqJDX_C_7_ZqQ7xEDloY886HQzkroNOUZNlFTJ4BNrlvIUTHCX&spc=l3OVKXY_YdFaHN_cPcRWCS7-JtPrJ8xPqDuk9dedOhVkJXqfMDZW5-aMcvHvXmNCmA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=HPHL9O8VL4KwbV1q8L7bzvMQ&rqh=1&gir=yes&clen=3600884&ratebypass=yes&dur=48.234&lmt=1756288557943729&mt=1756872823&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=YXP2fBTumVAYBg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgLNiYKfCtkmkFr36E1IbePkGvEiZ76uG3Ca1RIf1GlV8CIHllfgoMYgEJLZfBVPXay6-ANYBEl_SaQmPaov5Z2o4e&sig=AJfQdSswRgIhALNA9Y5Iclsk3NfAs-uMajuazNOcV__GfUmUMPMaP9wjAiEAseBal889NK1VrZjD6j0oj_Oao9cw8IvOazcWs8tyYbU%3D,그대라는 시 (그대라는 시) · TAEYEON,19K,821,@기프나슬프나
지각은 기세다!,https://www.youtube.com/shorts/MaGqo18QivI,https://rr5---sn-ab02a0nfpgxapox-bh2zr.googlevideo.com/videoplayback?expire=1756894834&ei=EsK3aLvtAf_u29gP1YTTiQU&ip=1.209.175.55&id=o-AOpl9xNA1KRCjNh5Qp4eg_FPagbxh-XTwd_32g696uFQ&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873234%2C&mh=Hx&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zr%2Csn-un57sne7&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5610000&bui=AY1jyLPhyJ_xz1I3z0h2_x4zKIMkWA3SYmfn-p1TyPn10MZXmkjXs0yvPk_DoXVhILpe5SFMA0rhGNR8&spc=l3OVKUHlj6eafXJDxB_LrhTxSHokSEHnL8lANUdNvQkAtnY4HbH6ibLJKsXcxpq_ag&vprv=1&svpuc=1&mime=video%2Fmp4&ns=7UuUWGyGEelK5T2ArM0Rd2AQ&rqh=1&gir=yes&clen=1454990&ratebypass=yes&dur=19.541&lmt=1756124498559506&mt=1756872823&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4400234&n=5yIiKBfRwMoVIg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAOmL9w29-TqN8yx6MLDSvFRkUtdAnklnaRnK4Uh-yqWvAiEA_kPr3QdWtP__tcXbm7YaO-NVgt5Gn-J93ecoQDjSy34%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgCPIWxgTsNMd9ILtJPC95G1oHLVlq0aofhauEI7KbuKgCIA90QcAXlg4gxIQdj2cLzvdEv_tMBZCwFeEAwhd40Z02,,1K,31,@우리바보아니야
[프로미스나인] 갭차이에 치인다는 영어하는 박지원,https://www.youtube.com/shorts/41PKO5vZprs,https://rr1---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756894835&ei=E8K3aKWnI7yX1d8P1aKP6Qw&ip=1.209.175.55&id=o-ACidBthlYnz4vlpEe4wbrilpEE54ZMcdjEQYMDHE-vpa&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873235%2C&mh=0E&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5473750&bui=AY1jyLN7swb1W2jKFiM6RDWb-hUoi1ypP_2HzD054QF5QqUDEKT0o28l4Zr5lSeKvAFuluLLAdA12_eH&spc=l3OVKd4mQMGGAELzV3VaBFxvMdE4Qbq3s-MPVU77ml3QxQB4Y76CEx8sTFWzdqhJsw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=5BcpnVhZtV4KSDwTot5qYTkQ&rqh=1&gir=yes&clen=4331368&ratebypass=yes&dur=57.877&lmt=1756496145799623&mt=1756872823&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=GnQ0U82NL9pNJw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhALtSqzxcX9kv2K45AacsaaqlOUS1HjEFo1tBPgswPkOUAiEAi0LCwvmOzpsCSPEdRbOMecjtC90w4DAprmrHvDXOdOk%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgTKcoJ3K37_VlvJKiD7TFMLki1ws1qkUWfZ4AiqWMkL4CIQDxIBK4chFpUyleVjV8brI1t49CeI_1_m8-LWrjl7SWjQ%3D%3D,,14K,569,@기프나슬프나
데뷔 8년 만에 봉인 푼 프로미스나인 송하영,https://www.youtube.com/shorts/SDkEffzibEQ,https://rr5---sn-ab02a0nfpgxapox-bh2lr.googlevideo.com/videoplayback?expire=1756894835&ei=E8K3aMeeNNeM29gPwvfn8QI&ip=1.209.175.55&id=o-AND33PBn1as_S9XNWuP927mYodyyAbo2fIoZ9Ri7-ouY&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873235%2C&mh=lc&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2lr%2Csn-un57snee&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=4801250&bui=AY1jyLOrLY6o2Y7z7tFiEMeXpiiovM2smY8crPuWtVvFrzaHt43zJeVZpx_3RvUGAg9ChFJu8oitgfY7&spc=l3OVKeYks1w2VCSi5dypHMDeTjEBUhsEo1EN8p4CK1U2Mj-d4Z28rGmIBoT6R_t-zg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=XLI16XIL6uwHNj2XEZ25o54Q&rqh=1&gir=yes&clen=1911015&ratebypass=yes&dur=20.586&lmt=1755199872034769&mt=1756872823&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4400234&n=7xOmNJLlb2mWLQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhANZ3zUq5MuzZJ5VS2LHhTfrPn03jp0sWwIWUOPpdmapPAiBq6V4KYpnaaFLul5pSnWShgA9HNPTy0zSX0C79kwIuUA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAP6BGzmCqcB8KMHxoUUeixMeeGJE8ehLE2C11XqLVGE7AiA1piUyly3l1KRSv6N_KBu-6cNwpBWf7MsTUsmV_JfCHg%3D%3D,,16K,960,@우리바보아니야
데뷔까지 프로미스나인이 흘린 눈물들,https://www.youtube.com/shorts/8ojHgaOLHbE,https://rr5---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894835&ei=E8K3aN-ZM9zp29gP-eKquAk&ip=1.209.175.55&id=o-AJ_HO9Kz_9_BlrUKEP0byxFlFt1RQR2F_A_exuzQLZW5&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873235%2C&mh=hQ&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=5&pl=24&rms=au%2Cau&ctier=L&initcwndbps=2547500&bui=AY1jyLN_C9edTMrJWA1cjKdcAlMhtonUlL-a5Ci9xdPwwQ-IiViaY_CtMS-tCCLHCWKoUuSF4iUUd_bN&spc=l3OVKcf-1T-V6KPVvCzhwyJ3Koi8z7W-vb6OuHjIc8uxdlfSEMs9GbSaJXNXzgs9hg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=RJYp0pbRxi_oJLAi6nsah_wQ&rqh=1&gir=yes&clen=11347738&ratebypass=yes&dur=152.192&lmt=1756580105337277&mt=1756872823&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=3URpVamLytaK1w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAJ1Cmv5xOXfZ26mbSFqv21zeqfnF3J5J-hqVh6HDYUMSAiAuZC-HWYhsY_RBNjMlepyynTDNQVTCSeS5IizdfTnRVg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgB80AtzhLkzYQ3ZC7kH_-zYabOTC0J0AKK9533sLsPeoCIHEqQ53SofqVFyZyeHa4DlSx4tsQnvpmxeSrtR2uX4GI,,12K,155,@높멀낮짜-r1n9n
딴 데 가지마✋#fromis_9 #프로미스나인,https://www.youtube.com/shorts/2vu0L2Ryh8A,https://rr1---sn-ab02a0nfpgxapox-bh2e6.googlevideo.com/videoplayback?expire=1756894846&ei=HsK3aPv6I4_l29gPpbur0A8&ip=1.209.175.55&id=o-ALtbyidSpvnxollIoizbmMmfDPT2VMYJFiBBom_NTgze&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873246%2C&mh=up&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2e6%2Csn-un57enez&ms=au%2Conr&mv=m&mvi=1&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6851250&bui=AY1jyLPBK0vfXg39lwuBtjntBIsMCByh4bfEkwRbXyh026xKrycQ30QLX7ws_NEvbyA3Z5TN7ZC3Ijku&spc=l3OVKdlRvcDjD7nSJx5iYs68WwRCVMiKbGzFiIzaYOmz4VZltpF0zcxiDyTFis72BA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=KDQntKBd8UANcWkodzhHEzQQ&rqh=1&gir=yes&clen=1175484&ratebypass=yes&dur=15.701&lmt=1756741179522586&mt=1756872823&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=_GFArayafS6hpQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAMg6yKKARQ4_Ud0FgdJuNm7LVsV9yqVCeafTSIkE7ZeMAiEA21xlXDtMBqIAiHXmv3MtNgO62iLknnpwFenvjGuDdc0%3D&sig=AJfQdSswRQIgfX8Y3oGQl4nZI3fLypCKG0Bb_b5aYA9edMzI7T-D4D4CIQDL3gr6hYG3oAxaJWsuWTERc76qmBrDZas3vMLafLturQ%3D%3D,#fromis_9,3K,936,@fromis9_official
[프로미스나인] 공식 서열 1위,https://www.youtube.com/shorts/CX3FOBaUsR8,https://rr3---sn-ab02a0nfpgxapox-bh2sd.googlevideo.com/videoplayback?expire=1756894843&ei=G8K3aNmyD9jk29gP-oG6qAw&ip=1.209.175.55&id=o-AAanKQ6hwKcOt76bGzCNhV7NBYXmavGq8dORyHPUaCII&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873243%2C&mh=OG&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2sd%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=3&pl=24&rms=au%2Cau&ctier=L&initcwndbps=5473750&bui=AY1jyLPI6_WJ_lgaVcV5ivsuQBsSXER9MBpinqyJV5Lj_DmIZoql1CIt6zgFR9ITnjHe9-mh--6rIVEO&spc=l3OVKao8hKl1Zo68lvCLoDfZSWEdln6Z9bTnHun1sPKsS51fJtXeLEVvE4IDB5rhiQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=zji7Oxmta0TFcvbLqA9oQOEQ&rqh=1&gir=yes&clen=941569&ratebypass=yes&dur=12.650&lmt=1727458054974750&mt=1756872823&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4530434&n=iRmutEBQBYIKFw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgf4oQWMARfEA5gY1oO8fE5C7HEAcJ7cfjQHbmMMOn9IQCIQC4RSFCaW6qeuuCRAR4TFUnXIzse5w0iBhKyrUJqNuGKA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgSeYAnkOXvjjNfw-iaWiY9jofZ5oT-Y__D8Ns1w7ZAUcCIQDp5H75xVTsvtDJAAidqK-w6ccTqsy2s5pT33dsjpnALg%3D%3D,,9K,587,@White_Bottle
[프로미스나인] 디스가 일상인 아이돌 ㄷㄷ,https://www.youtube.com/shorts/eyGsLIpbKu8,https://rr5---sn-ab02a0nfpgxapox-bh2zk.googlevideo.com/videoplayback?expire=1756894848&ei=IMK3aIylMJaH29gPhcuxqQ8&ip=1.209.175.55&id=o-AImhkxl0kdo2nlzxsjEA_RHC_dciM-krCUAXeVXHWYkY&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873248%2C&mh=YV&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2zk%2Csn-un57enel&ms=au%2Conr&mv=m&mvi=5&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=2547500&bui=AY1jyLOcxCrSPa1WG2hkcFNKOB6L7onsJLXZVK6GXMRghiz3jDB3hywZairrf1FJiAOAZY-K-dd-Oj-8&spc=l3OVKVAdUDjtcxBMhEniII5Mppqb4MQVJ8X_PgqcL6RCXxI1YZMi9XDMK9GCeS0iPQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=cNI5wfQwmIkv96gsYnPE0m4Q&rqh=1&gir=yes&clen=2688006&ratebypass=yes&dur=30.037&lmt=1756819077059121&mt=1756872823&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=JAEs3enEgQbRWA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhAKXCNhZuHPCoiazwY4MWCx8xyDBD5MpynkTWBEzdekyGAiEA6jBHXEFgg2o90ukbISCunTtxggGPgC5saCLJJB9OAFA%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgKO0UdOXx5ErNwmk4BUMKmg339ACs21pVTXGrfbT85X0CIGNABJM4Cb7a8TWWnlWaOh_d-qiJPzKw3y_6LS5zb9_M,,7K,938,@프나미
프로미스나인 역대 금발 계보,https://www.youtube.com/shorts/9rJOi6Ll_UE,https://rr8---sn-ab02a0nfpgxapox-bh2lr.googlevideo.com/videoplayback?expire=1756894848&ei=IMK3aLykLOGN29gP_L6EaA&ip=1.209.175.55&id=o-ABrKWe5FAMpdIcoPKkIsQqTevuffj-eO4pJy25_9grFF&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873248%2C&mh=2K&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2lr%2Csn-30a7ynl7&ms=au%2Conr&mv=m&mvi=8&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=7308750&bui=AY1jyLM0DqtuC4sXzU0k90KtdeWFqNOer43pySDJwaJVaSYvl0SGoBBdU6Xs1Ly5WxbA7uJp86xWGZ1n&spc=l3OVKVnQlmyt7IIYbWDfO72RyfX0rYW2hvsuAN6vigkLmbkfSEmEUAxx_LWtzAuQyw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=908vlNwML__BuIHnyDMlgboQ&rqh=1&gir=yes&clen=1160752&ratebypass=yes&dur=15.509&lmt=1756655636161725&mt=1756873057&fvip=4&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4400234&n=HpxJ37-ZLc5oVg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAJf4Fo3s3-HUOTekrzJVl-4CmDSOtAXW9nJBGYLc7FqAAiEAqToYo_8RXcJDK8veOT6L0zWCqAOPDjGhalddXrKgE14%3D&sig=AJfQdSswRgIhAIzLoI8SXL64r2cP5pMXxeGjE0unJ7lLlx0nFQRiacgkAiEA1YkHsiNzWlpKLQ_6JZdzvJuiLdmibyJJy-9sObc6W-c%3D,,16K,475,@나잘한다해짜나
그룹에서 막내면 좋은 점 [프로미스나인],https://www.youtube.com/shorts/UsxyCkl_54Q,https://rr2---sn-ab02a0nfpgxapox-bh2z6.googlevideo.com/videoplayback?expire=1756894849&ei=IcK3aNGoI6uZ29gPpuCEoAQ&ip=1.209.175.55&id=o-AMIKAG5t7b9b0MeMQb0Xh1iC9F6madJRamoEklHUzrdK&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1756873249%2C&mh=BK&mm=31%2C26&mn=sn-ab02a0nfpgxapox-bh2z6%2Csn-un57ene6&ms=au%2Conr&mv=m&mvi=2&pcm2cms=yes&pl=24&rms=au%2Cau&ctier=L&initcwndbps=6943750&bui=AY1jyLOb5EeY2mzeOggW3NdFLtw_n52UH__OfXlAzNNV5OXbCwpQmw7RKhmG_DI_Ud_f-QXHFXcW_hWK&spc=l3OVKeNonEU6o7of4lOCHsYBfao3Wpo0PLYrp8d_qW0cQqDRZkSEgCd5n_AK7akNng&vprv=1&svpuc=1&mime=video%2Fmp4&ns=7Y_K4-Gr6G5wmoH52cu0tI0Q&rqh=1&gir=yes&clen=1556297&ratebypass=yes&dur=20.885&lmt=1730629213764523&mt=1756872823&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430434&n=nEuNMnnyodxD4g&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgFR683VN8x2iXheCcUfLnP98eMPjFhg3v2IkbU8k3Df4CIQCmhRpt4AzfQP_Dxq1zSAPWspjWgLPPbDtf3V_87BCe4g%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAP4d7LjtZAityeL9MK9PoJPN0iNMvfHfRcFBDvItxANWAiBMUpvrPdM1RsoSezp7AAZcBwxAv1ajKSvUzB_YN7v5Sw%3D%3D,,20K,466,@동그래미_꼬
